alias,title,id,name,review_count,rating,price,coordinates_latitude,coordinates_longitude,location_address1,categoria_estandarizada,rating_ponderado
cocktailbars,Cocktail Bars,JgTf0nmG-nWiQmrHZ11-tg,Kindling Downtown Cookout & Cocktails,180,4.1,$$$,41.87923,-87.63541,202 S Franklin St,Otro,4.30079804350624
desserts,Desserts,JgTf0nmG-nWiQmrHZ11-tg,Kindling Downtown Cookout & Cocktails,180,4.1,$$$,41.87923,-87.63541,202 S Franklin St,Otro,4.30079804350624
tradamerican,American,JgTf0nmG-nWiQmrHZ11-tg,Kindling Downtown Cookout & Cocktails,180,4.1,$$$,41.87923,-87.63541,202 S Franklin St,Carnes,4.30079804350624
newamerican,New American,p-a5uSlaIENNTmoYqOvTYA,DeNuccis,256,4.3,$$$,41.91993037383063,-87.6414504647255,503 W Dickens Ave,Carnes,4.348336864529422
italian,Italian,p-a5uSlaIENNTmoYqOvTYA,DeNuccis,256,4.3,$$$,41.91993037383063,-87.6414504647255,503 W Dickens Ave,Vegetariano/Vegano,4.348336864529422
supperclubs,Supper Clubs,32t_t04aDAMRkhNksU0xsg,Charlie Martin's,63,4.7,,41.895974,-87.631573,736 N Clark St,Otro,4.409667263915174
italian,Italian,jKKFQGqgYBTQVx9P0hdb9w,The Radicle,9,4.3,,41.92730234228856,-87.70415615290403,2523 N Milwaukee Ave,Vegetariano/Vegano,4.371793064016194
seafood,Seafood,jKKFQGqgYBTQVx9P0hdb9w,The Radicle,9,4.3,,41.92730234228856,-87.70415615290403,2523 N Milwaukee Ave,Mariscos/Pescado,4.371793064016194
cocktailbars,Cocktail Bars,jKKFQGqgYBTQVx9P0hdb9w,The Radicle,9,4.3,,41.92730234228856,-87.70415615290403,2523 N Milwaukee Ave,Otro,4.371793064016194
cocktailbars,Cocktail Bars,L0SpO9Eb6fHIZ5ljKpdAow,Queen Mary Tavern,156,4.4,$$,41.9028282165527,-87.6807403564453,2125 W Division St,Otro,4.379485776805248
